"Trx#","Date","Category","ItemName","Price","Order","Discount","TotalAmount","Type","Pcf","Classification"
"46595","01/10/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"46708","01/11/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Jan-25","Non Alc Bevs"
"7106","01/12/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"47210","01/14/25","Drinks","Coke 1.5","11,"1","-","110","Actual Sales","Jan-25","Non Alc Bevs"
"47234","01/14/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"47238","01/14/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"8290","01/15/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"8298","01/15/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"7999","01/15/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"47199","01/15/25","Drinks","Sprite In Can","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"22239","01/16/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"22280","01/17/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"22691","01/18/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"22693","01/18/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"7008","01/20/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"22455","01/21/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"7138","01/22/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"7138","01/22/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"4896","01/23/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"45231","01/23/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"3870","01/24/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"7219","01/24/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Jan-25","Non Alc Bevs"
"3884","01/25/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"3932","01/26/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
